term,estimate,std.error,statistic,p.value,se_type
(Intercept),0.02040788054144957,0.029253004316355913,0.6976336625376675,0.48646512543302955,HC3
anger_lag1,0.001612746452849727,0.004928685985806412,0.32721631231815146,0.7439515440081492,HC3
joy_lag1,-2.7667684386582423e-4,0.0036691920907983835,-0.07540538544157327,0.9399906797249467,HC3
fear_lag1,-4.6731293845933515e-4,0.0033375393454064192,-0.14001720731847417,0.8888305492525688,HC3
sadness_lag1,-0.004048669471465925,0.0052550274389194344,-0.7704373608938629,0.44222851879994063,HC3
surprise_lag1,0.0028206326168104387,0.002354721592507637,1.197862467386913,0.23282293547965793,HC3
disgust_lag1,0.002817683284160241,0.005131256038876809,0.5491215528541448,0.5837225566185111,HC3
trust_lag1,5.383005594263166e-5,0.0020654715157268633,0.026061872813427905,0.9792419490599995,HC3
anticipation_lag1,0.0015811344538315547,0.0033437698187606165,0.4728598377078508,0.6369870477454612,HC3
positive_lag1,-7.969281871169992e-4,0.0015244402402914846,-0.5227677452050338,0.6018920749540748,HC3
negative_lag1,-0.001262764443063297,0.001408697233285305,-0.896405851609668,0.371444282743121,HC3
